Ticker,Sector
MMM,industrials
AOS,industrials
AAON,industrials
ABT,healthcare
ABBV,healthcare
ACHC,healthcare
ACN,technology
AYI,industrials
ADBE,technology
ADT,consumer-cyclical
WMS,industrials
AMD,technology
ACM,industrials
AES,utilities
AMG,financial-services
AFRM,technology
AFL,financial-services
AGCO,industrials
A,healthcare
ADC,real-estate
AGNC,financial-services
AL,industrials
APD,basic-materials
ABNB,consumer-cyclical
AKAM,technology
ALK,industrials
ALB,basic-materials
ACI,consumer-defensive
AA,basic-materials
ARE,real-estate
ALGN,healthcare
ALLE,industrials
ALGM,technology
LNT,utilities
ALSN,industrials
ALL,financial-services
ALLY,financial-services
ALNY,healthcare
GOOGL,communication-services
GOOG,communication-services
MO,consumer-defensive
AMZN,consumer-cyclical
AMCR,basic-materials
DOX,technology
AMTM,industrials
AS,consumer-cyclical
AEE,utilities
AAL,industrials
AEP,utilities
AXP,financial-services
AFG,financial-services
AMH,real-estate
AIG,financial-services
AMT,real-estate
AWK,utilities
COLD,real-estate
AMP,financial-services
AME,industrials
AMGN,healthcare
AMKR,technology
APH,technology
ADI,technology
AU,basic-materials
NLY,financial-services
AM,energy
AR,energy
AON,financial-services
APA,energy
APG,industrials
APO,financial-services
APPF,technology
AAPL,technology
AIT,industrials
AMAT,technology
APP,technology
ATR,basic-materials
APTV,consumer-cyclical
ARMK,consumer-cyclical
ACGL,financial-services
ADM,consumer-defensive
ARES,financial-services
ANET,technology
AWI,industrials
ARW,technology
AJG,financial-services
ASH,basic-materials
AIZ,financial-services
AGO,financial-services
ALAB,technology
ASTS,communication-services
T,communication-services
ATI,industrials
TEAM,technology
ATO,utilities
AUR,technology
ADSK,technology
ADP,industrials
AN,consumer-cyclical
AZO,consumer-cyclical
AVB,real-estate
AVTR,healthcare
AVY,basic-materials
CAR,industrials
AVT,technology
AXTA,basic-materials
AXS,financial-services
AXON,industrials
BKR,energy
BALL,basic-materials
BAC,financial-services
OZK,financial-services
BBWI,consumer-cyclical
BAX,healthcare
BDX,healthcare
BRBR,consumer-defensive
BSY,technology
BRK-B,financial-services
BBY,consumer-cyclical
BILL,technology
BIO,healthcare
TECH,healthcare
BIIB,healthcare
BMRN,healthcare
BIRK,consumer-cyclical
BJ,consumer-defensive
BLK,financial-services
BX,financial-services
HRB,consumer-cyclical
XYZ,financial-services
OWL,financial-services
BNY,financial-services
BA,industrials
BOKF,financial-services
BKNG,consumer-cyclical
BAH,industrials
BWA,consumer-cyclical
SAM,consumer-defensive
BSX,healthcare
BYD,consumer-cyclical
BFAM,consumer-cyclical
BHF,financial-services
BMY,healthcare
BRX,real-estate
AVGO,technology
BR,industrials
BAM,financial-services
BEPC,utilities
BRO,financial-services
BF-A,consumer-defensive
BF-B,consumer-defensive
BRKR,healthcare
BC,consumer-cyclical
BLDR,industrials
BLSH,financial-services
BG,consumer-defensive
BURL,consumer-cyclical
BWXT,industrials
BXP,real-estate
CHRW,industrials
CACI,industrials
CDNS,technology
CZR,consumer-cyclical
CPT,real-estate
CPB,consumer-defensive
COF,financial-services
CAH,healthcare
CAI,healthcare
CSL,industrials
CG,financial-services
KMX,consumer-cyclical
CCL,consumer-cyclical
CRS,basic-materials
CARR,industrials
CVNA,consumer-cyclical
CASY,consumer-defensive
CAT,industrials
CAVA,consumer-cyclical
CBOE,financial-services
CBRE,real-estate
CCC,technology
CDW,technology
CE,basic-materials
CELH,consumer-defensive
COR,healthcare
CNC,healthcare
CNP,utilities
CBC,financial-services
CERT,healthcare
CF,basic-materials
CRL,healthcare
SCHW,financial-services
CHTR,communication-services
CHE,healthcare
LNG,energy
CVX,energy
CHWY,consumer-cyclical
CMG,consumer-cyclical
CHH,consumer-cyclical
CHRD,energy
CB,financial-services
CHD,consumer-defensive
CHDN,consumer-cyclical
CIEN,technology
CI,healthcare
CINF,financial-services
CTAS,industrials
CRCL,technology
CRUS,technology
CSCO,technology
C,financial-services
CFG,financial-services
CLVT,industrials
CLH,industrials
CWEN-A,utilities
CWEN,utilities
CLF,basic-materials
CLX,consumer-defensive
NET,technology
CME,financial-services
CMS,utilities
CNA,financial-services
CNH,industrials
KO,consumer-defensive
COKE,consumer-defensive
CGNX,technology
CTSH,technology
COHR,technology
COIN,financial-services
CL,consumer-defensive
COLB,financial-services
COLM,consumer-cyclical
CMCSA,communication-services
FIX,industrials
CBSH,financial-services
CAG,consumer-defensive
CNXC,technology
COP,energy
ED,utilities
STZ,consumer-defensive
CEG,utilities
COO,healthcare
CPRT,industrials
CORT,healthcare
CNM,industrials
GLW,technology
CPAY,financial-services
CTVA,basic-materials
CSGP,real-estate
COST,consumer-defensive
COTY,consumer-defensive
CPNG,consumer-cyclical
CUZ,real-estate
CR,industrials
CXT,industrials
CACC,financial-services
CRH,basic-materials
CROX,consumer-cyclical
CRWD,technology
CCI,real-estate
CCK,basic-materials
CSX,industrials
CUBE,real-estate
CMI,industrials
CW,industrials
CVS,healthcare
DHI,consumer-cyclical
DHR,healthcare
DRI,consumer-cyclical
DAR,consumer-defensive
DDOG,technology
DVA,healthcare
DECK,consumer-cyclical
DE,industrials
DAL,industrials
DELL,technology
XRAY,healthcare
DVN,energy
DXCM,healthcare
FANG,energy
DKS,consumer-cyclical
DLR,real-estate
DDS,consumer-cyclical
DOCU,technology
DLB,technology
DG,consumer-defensive
DLTR,consumer-defensive
D,utilities
DPZ,consumer-cyclical
DCI,industrials
DASH,consumer-cyclical
DV,technology
DOV,industrials
DOW,basic-materials
DOCS,healthcare
DKNG,consumer-cyclical
DBX,technology
DTM,energy
DTE,utilities
DUK,utilities
DUOL,consumer-cyclical
DD,basic-materials
BROS,consumer-cyclical
DXC,technology
DT,technology
ELF,consumer-defensive
EXP,basic-materials
EWBC,financial-services
EGP,real-estate
EMN,basic-materials
ETN,industrials
EBAY,consumer-cyclical
ECL,basic-materials
EIX,utilities
EW,healthcare
ELAN,healthcare
ESTC,technology
EA,communication-services
ESI,basic-materials
ELV,healthcare
EME,industrials
EMR,industrials
EHC,healthcare
ENPH,technology
ENTG,technology
ETR,utilities
NVST,healthcare
EOG,energy
EPAM,technology
EPR,real-estate
EQT,energy
EFX,industrials
EQIX,real-estate
EQH,financial-services
ELS,real-estate
EQR,real-estate
ESAB,industrials
WTRG,utilities
ESS,real-estate
EL,consumer-defensive
ETSY,consumer-cyclical
EEFT,financial-services
EVR,financial-services
EG,financial-services
EVRG,utilities
PSTG,technology
ES,utilities
ECG,industrials
EXEL,healthcare
EXC,utilities
EXLS,industrials
EXE,energy
EXPE,consumer-cyclical
EXPD,industrials
EXR,real-estate
XOM,energy
FFIV,technology
FDS,financial-services
FICO,technology
FAST,industrials
FRT,real-estate
FDX,industrials
FERG,industrials
FRMI,real-estate
FNF,financial-services
FIS,financial-services
FITB,financial-services
FIGR,financial-services
FAF,financial-services
FCNCA,financial-services
FHB,financial-services
FHN,financial-services
FR,real-estate
FSLR,technology
FE,utilities
